Date,Close
6-Mar-07,12697.09
7-Mar-07,12579.75
8-Mar-07,13049.35
9-Mar-07,12884.99
12-Mar-07,12902.63
13-Mar-07,12982.98
14-Mar-07,12529.62
15-Mar-07,12543.85
16-Mar-07,12430.4
19-Mar-07,12644.99
20-Mar-07,12705.94
21-Mar-07,12945.88
22-Mar-07,13308.03
23-Mar-07,13285.93
26-Mar-07,13124.32
28-Mar-07,12884.34
29-Mar-07,12979.66
30-Mar-07,13072.1
2-Apr-07,12455.37
3-Apr-07,12624.58
4-Apr-07,12786.77
5-Apr-07,12856.08
9-Apr-07,13177.74
10-Apr-07,13189.54
11-Apr-07,13183.24
12-Apr-07,13113.81
13-Apr-07,13384.08
16-Apr-07,13695.58
17-Apr-07,13607.04
18-Apr-07,13672.19
19-Apr-07,13619.7
20-Apr-07,13897.41
23-Apr-07,13928.33
24-Apr-07,14136.72
25-Apr-07,14217.77
26-Apr-07,14228.88
27-Apr-07,13908.58
30-Apr-07,13872.37
3-May-07,14078.21
4-May-07,13934.27
7-May-07,13879.25
8-May-07,13765.46
9-May-07,13781.51
10-May-07,13771.23
11-May-07,13796.16
14-May-07,13965.86
15-May-07,13929.33
16-May-07,14127.31
17-May-07,14299.71
18-May-07,14303.41
21-May-07,14418.6
22-May-07,14453.72
23-May-07,14363.26
24-May-07,14218.11
25-May-07,14338.45
28-May-07,14397.89
29-May-07,14508.21
30-May-07,14411.38
31-May-07,14544.46
1-Jun-07,14570.75
4-Jun-07,14495.77
5-Jun-07,14535.01
6-Jun-07,14255.93
7-Jun-07,14186.18
8-Jun-07,14063.81
11-Jun-07,14083.41
12-Jun-07,14130.95
13-Jun-07,14003.03
14-Jun-07,14203.72
15-Jun-07,14162.71
18-Jun-07,14080.14
19-Jun-07,14295.5
20-Jun-07,14411.95
21-Jun-07,14499.24
22-Jun-07,14467.36
25-Jun-07,14487.72
26-Jun-07,14501.08
27-Jun-07,14431.06
28-Jun-07,14504.57
29-Jun-07,14650.51
2-Jul-07,14664.26
3-Jul-07,14806.51
4-Jul-07,14880.24
5-Jul-07,14861.89
6-Jul-07,14964.12
9-Jul-07,15045.73
10-Jul-07,15009.88
11-Jul-07,14910.62
12-Jul-07,15092.04
